Asset,EntryType,Direction,ATR_Pct,Range_Pct,Volatility,ADX,Trend_Bias,Trend_Quality,RSI,Hurst,Return_20,BB_Width,WinRate,Current_State,PnlPips,Result
GBPUSD,SMA,-1,0.2566,0.1055,0.002524,32.98,-0.0466,-0.8502,43.13,0.7392,-0.3785,0.7280,0.0000,100.00,8.0,1
USDJPY,CH,-1,0.1828,0.1755,0.083731,42.76,-0.2878,-0.7987,47.17,0.3712,-0.1008,0.3047,0.0000,100.00,-13.2,0
USDJPY,CH,-1,0.1828,0.0991,0.081118,39.62,-0.2853,-0.6152,48.89,0.3986,-0.0400,0.2952,0.0000,100.00,-11.3,0
USDJPY,CH,-1,0.1827,0.0936,0.086260,37.60,-0.2786,-0.3675,54.03,0.4147,0.0746,0.3139,0.0000,100.00,-4.2,0
EURUSD,CH,1,0.1944,0.2318,0.000710,26.07,0.1754,0.2354,43.96,0.7008,-0.0186,0.2400,0.0000,100.00,-9.8,0
EURUSD,CH,1,0.1945,0.1168,0.000864,25.38,0.1743,-0.1102,40.44,0.7290,-0.1353,0.2920,0.0000,100.00,-1.9,0
EURUSD,CH,1,0.1946,0.1016,0.001031,25.09,0.1701,-0.2989,39.06,0.7560,-0.2180,0.3485,0.0000,100.00,1.2,1
USDJPY,SMA,1,0.1886,0.1604,0.151319,26.91,0.0046,0.9168,66.06,0.4342,0.2481,0.5503,0.0000,100.00,-63.2,0
USDJPY,SMA,1,0.1911,0.1569,0.157628,28.59,0.0247,0.9417,59.26,0.5000,0.3167,0.5731,0.0000,100.00,-45.8,0
USDJPY,SMA,1,0.1913,0.1281,0.153261,28.65,0.0391,0.9145,51.95,0.6013,0.2586,0.5572,0.0000,100.00,-33.8,0
USDJPY,SMA,1,0.1912,0.0844,0.145826,29.12,0.0536,0.8833,53.21,0.6752,0.3097,0.5301,0.0000,100.00,-36.4,0
USDJPY,CH,1,0.1894,0.3791,0.213480,26.61,-0.0799,-0.8062,23.25,0.3899,-0.8165,0.7772,0.0000,100.00,20.9,1
EURUSD,CH,-1,0.1848,0.3291,0.001432,28.70,-0.0552,-0.5954,60.81,0.1706,0.0821,0.4853,0.0000,100.00,18.4,1
GBPUSD,CH,1,0.2710,0.4169,0.002632,25.67,-0.3607,-0.8890,30.16,0.5652,-0.7607,0.7662,0.0000,100.00,-7.3,0
GBPUSD,CH,-1,0.2706,0.2627,0.001650,35.77,-0.4313,-0.6043,42.69,0.7238,-0.2802,0.4827,0.0000,100.00,30.5,1
GBPUSD,CH,1,0.2839,0.2788,0.002305,37.10,-0.4067,-0.7280,28.59,0.8144,-0.5567,0.6751,0.0000,100.00,31.1,1
USDJPY,SMA,-1,0.2256,0.2019,0.239935,30.78,-0.1182,-0.8419,37.49,0.4750,-0.5550,0.8740,0.0000,100.00,-48.3,0
USDJPY,SMA,-1,0.2258,0.2999,0.234197,29.59,-0.1013,-0.8296,32.07,0.4345,-0.6586,0.8529,0.0000,100.00,-59.0,0
GBPUSD,CH,-1,0.2801,0.3275,0.001538,32.70,-0.1327,0.1229,62.44,0.9382,0.4472,0.4514,0.0000,100.00,-46.2,0
GBPUSD,CH,-1,0.3071,0.1716,0.002348,31.10,-0.0840,0.4850,64.92,0.9583,0.4688,0.6888,0.0000,100.00,-30.1,0
GBPUSD,CH,-1,0.3070,0.1139,0.002767,31.43,-0.0632,0.6105,66.42,0.9644,0.4959,0.8118,0.0000,100.00,-25.2,0
GBPUSD,CH,-1,0.3067,0.1706,0.003231,33.01,-0.0363,0.7047,68.71,0.9331,0.6023,0.9475,0.0000,100.00,-12.1,0
GBPUSD,CH,-1,0.3107,0.0671,0.003629,33.34,-0.0113,0.7780,69.61,0.8831,0.6354,1.0638,0.0000,100.00,-8.0,0
USDJPY,CH,1,0.1999,0.0726,0.120444,32.87,0.2616,0.7925,56.01,0.1534,0.2803,0.4372,0.0000,100.00,-12.2,0
USDJPY,CH,1,0.2000,0.1035,0.102903,30.62,0.2609,0.6354,51.17,0.1552,0.2056,0.3735,0.0000,100.00,-6.6,0
USDJPY,CH,1,0.1995,0.0291,0.081161,27.64,0.2495,0.2363,50.47,0.1555,0.0318,0.2945,0.0000,100.00,-6.0,0
USDJPY,SMA,1,0.2165,0.0537,0.173033,24.56,0.0995,0.7939,58.23,0.6766,0.2426,0.6304,0.0000,100.00,29.8,1
